ncore_nodes,seq_length,median,std_err_mean,score,perf_name
-157.9239472248127925, 100,100,0.004310,0.000009,-157.923947,1thread_viterbi
-469.4680058306055912, 100,1000,0.043862,0.000069,-469.468006,1thread_viterbi
-930.7839644835630679, 100,2000,0.087611,0.000125,-930.783964,1thread_viterbi
-1395.1589152663593723, 100,3000,0.130532,0.000177,-1395.158915,1thread_viterbi
-1856.4749222363013814, 100,4000,0.173600,0.001120,-1856.474922,1thread_viterbi
-2320.8498972262464122, 100,5000,0.218245,0.000289,-2320.849897,1thread_viterbi
-2782.1659041962057017, 100,6000,0.260549,0.000323,-2782.165904,1thread_viterbi
-3246.5408791861568716, 100,7000,0.304192,0.000385,-3246.540879,1thread_viterbi
-3707.8568861561161611, 100,8000,0.347496,0.000451,-3707.856886,1thread_viterbi
-4172.2318611460850661, 100,9000,0.390890,0.000501,-4172.231861,1thread_viterbi
-4633.5478681161512213, 100,10000,0.445608,0.000549,-4633.547868,1thread_viterbi
-801.6991121984581241, 500,100,0.040696,0.000017,-801.699112,1thread_viterbi
-818.5397430959862959, 500,1000,0.414283,0.000316,-818.539743,1thread_viterbi
-966.6884890100161556, 500,2000,0.820059,0.000780,-966.688489,1thread_viterbi
-1459.2779880933458116, 500,3000,1.228147,0.001209,-1459.277988,1thread_viterbi
-1931.6654243218631564, 500,4000,1.652559,0.001136,-1931.665424,1thread_viterbi
-2419.0655189571257324, 500,5000,1.988170,0.001467,-2419.065519,1thread_viterbi
-2896.6423659701340512, 500,6000,2.422465,0.001730,-2896.642366,1thread_viterbi
-3384.0424606054048127, 500,7000,2.846474,0.001957,-3384.042461,1thread_viterbi
-3861.6193165051490723, 500,8000,3.242800,0.002347,-3861.619317,1thread_viterbi
-4349.0194111404780415, 500,9000,3.674873,0.002595,-4349.019411,1thread_viterbi
-4826.5962670403350785, 500,10000,4.140517,0.002985,-4826.596267,1thread_viterbi
-1606.4180684154907794, 1000,100,0.093539,0.000008,-1606.418068,1thread_viterbi
-1623.2586993130216797, 1000,1000,0.980812,0.000506,-1623.258699,1thread_viterbi
-1641.9705114213859360, 1000,2000,1.912160,0.001309,-1641.970511,1thread_viterbi
-1660.6823235297551946, 1000,3000,2.895799,0.001599,-1660.682324,1thread_viterbi
-1941.4869290813458065, 1000,4000,3.800208,0.002138,-1941.486929,1thread_viterbi
-2428.8870067061666305, 1000,5000,4.638673,0.002678,-2428.887007,1thread_viterbi
-2926.7316511467915916, 1000,6000,5.594463,0.003234,-2926.731651,1thread_viterbi
-3439.8649362890646444, 1000,7000,6.534387,0.004218,-3439.864936,1thread_viterbi
-3881.2623126855455666, 1000,8000,7.426256,0.004795,-3881.262313,1thread_viterbi
-4368.6624044120408143, 1000,9000,8.762936,0.005111,-4368.662404,1thread_viterbi
-4856.0626420328935637, 1000,10000,9.449797,0.006072,-4856.062642,1thread_viterbi
